type,name,url,icon,safe,landscape,full
1,汉国学,https://www.hanyuguoxue.com/,,0,0,0
1,必应,https://www.bing.com/,,0,0,0
1,热榜,https://rebang.today/,,1,0,0
1,轻松传,https://easychuan.cn/,,1,0,0
1,Itab,https://go.itab.link/,,0,0,0
1,画布,https://tool.mkblog.cn/whiteboard/,,0,1,1
1,不锁屏,https://www.keepscreenon.com/,,0,0,1
1,二维码,https://www.qrscanner.org/zh-cn,,1,0,0
1,菜鸟教程,https://m.runoob.com,,0,0,0
1,计算器,https://calculator.advernesia.com/zh/,,0,0,0
3,数字华容道,http://localhost:8080/local_web/puzzle/index.html,,0,0,0
3,计算器,http://localhost:8080/local_web/calculator/index.html,,0,0,0
3,番茄工作法,http://localhost:8080/local_web/tomato/index.html,,0,0,0
3,小钢琴,http://localhost:8080/local_web/piano/index.html,,0,1,0
3,口算小达人,http://localhost:8080/local_web/count_game/index.html,,0,0,0
3,国际象棋,https://lichess.org/learn,,0,0,0
3,中国象棋,https://play.xiangqi.com/,,0,0,0
3,围棋,https://online-go.com/learn-to-play-go,,0,0,0
3,画圆圈,http://localhost:8080/local_web/circle/index.html,,0,0,0
3,俄罗斯方块,https://agi-static.lingguang.com/component-full.html?fullscreen=true&backgroundColor=%23ffffff&titleBarColor=transparent&fullScreenArrowType=black&color_scheme=light&appFavorited=false&isFlashApp=true&html_url=https://render.lingguangcontent.com/p/lingguang/21d230cd17693460092991075e876d/index.html&reusecontext=true,,0,0,0
3,Flappy Bird,https://flappybird.io/,,0,0,1
3,数独,https://sudoku.com/,,0,0,0
3,贪吃蛇,http://slither.com/io,,0,0,0
3,井字棋,https://playtictactoe.org/,,0,0,0
3,星球,http://localhost:8080/local_web/planet/index.html,,0,0,1
3,时间,http://localhost:8080/local_web/timer/index.html,,0,0,1
3,呼吸,http://localhost:8080/local_web/relaxer-app/index.html,,0,0,1
3,2048,http://localhost:8080/local_web/2048/index.html,,0,0,1
3,主题时钟,http://localhost:8080/local_web/theme-clock/index.html,,0,0,1
3,简单计时器,http://localhost:8080/local_web/simple-timer/index.html,,0,0,1
2,流体模拟,http://localhost:8080/local_web/WebGL-Fluid-Simulation/index.html,,0,0,1
2,花,http://localhost:8080/local_web/Procedural-Flower/examples/RampantFlower.html,,0,0,1
2,小树,http://localhost:8080/local_web/procedural-plants/index.html,,0,0,1
2,效果,http://localhost:8080/local_web/effect/index.html,,0,0,0
2,CSS doodle,http://localhost:8080/local_web/css-doodle/index.html,,0,0,0
2,OGL,https://oframe.github.io/ogl/examples/?src=triangle-screen-shader.html,,0,0,0
1,AirScan-QR,https://topcss.github.io/AirScan-QR/,,1,0,0
1,白噪声,https://moodist.mvze.net/,,0,0,0
1,音乐alger,http://music.alger.fun/#/,,0,0,0
1,网站liumingye,https://tools.liumingye.cn/#/,,0,0,0
0,剪切板,func://OpenCopyUrl,,0,0,0
0,ai_create,https://hy2013.github.io/web_pages/ai_create/,,0,0,0
0,剪切板2,func://OpenCopyUrl2,,0,0,0
0,剪切板3,func://OpenCopyUrl3,,0,0,0
